401.63,3.184E-16
401.68,1.381E-15
401.73,5.807E-15
401.78,2.369E-14
401.83,9.37E-14
401.88,3.595E-13
401.93,1.337E-12
401.98,4.826E-12
402.03,1.689E-11
402.08,5.732E-11
402.13,1.887E-10
402.18,6.024E-10
402.23,1.867E-09
402.28,5.608E-09
402.33,1.634E-08
402.38,4.619E-08
402.43,1.267E-07
402.48,3.371E-07
402.53,8.708E-07
402.58,2.184E-06
402.63,5.322E-06
402.68,1.26E-05
402.73,2.905E-05
402.78,6.526E-05
402.83,0.0001431
402.88,0.0003072
402.93,0.0006478
402.98,0.001347
403.03,0.002775
403.08,0.005691
403.13,0.01167
403.18,0.02399
403.23,0.04951
403.28,0.1024
403.33,0.2115
403.38,0.4346
403.43,0.8836
403.48,1.77
403.53,3.48
403.58,6.693
403.63,12.56
403.68,22.97
403.73,40.87
403.78,70.68
403.83,118.7
403.88,193.7
403.93,306.6
403.98,471.1
404.03,702.2
404.08,1016
404.13,1425
404.18,1939
404.23,2560
404.28,3277
404.33,4071
404.38,4904
404.43,5730
404.48,6494
404.53,7138
404.58,7611
404.63,7871
404.68,7895
404.73,7681
404.78,7248
404.83,6634
404.88,5889
404.93,5071
404.98,4235
405.03,3430
405.08,2695
405.13,2054
405.18,1518
405.23,1088
405.28,756.6
405.33,510.3
405.38,333.8
405.43,211.8
405.48,130.3
405.53,77.79
405.58,45.04
405.63,25.29
405.68,13.77
405.73,7.276
405.78,3.728
405.83,1.853
405.88,0.8929
405.93,0.4175
405.98,0.1893
406.03,0.08326
406.08,0.03552
406.13,0.0147
406.18,0.005898
406.23,0.002296
406.28,0.0008667
406.33,0.0003174
406.38,0.0001127
406.43,3.884E-05
406.48,1.298E-05
406.53,4.205E-06
406.58,1.322E-06
406.63,4.031E-07
406.68,1.192E-07
406.73,3.419E-08
406.78,9.511E-09
406.83,2.566E-09
406.88,6.717E-10
406.93,1.705E-10
406.98,4.198E-11
407.03,1.003E-11
407.08,2.322E-12
431.29,3.074E-14
431.34,1.226E-13
431.39,4.762E-13
431.44,1.801E-12
431.49,6.635E-12
431.54,2.38E-11
431.59,8.313E-11
431.64,2.828E-10
431.69,9.366E-10
431.74,3.021E-09
431.79,9.489E-09
431.84,2.902E-08
431.89,8.644E-08
431.94,2.507E-07
431.99,7.081E-07
432.04,1.948E-06
432.09,5.216E-06
432.14,1.36E-05
432.19,3.455E-05
432.24,8.546E-05
432.29,0.0002058
432.34,0.0004827
432.39,0.001102
432.44,0.002452
432.49,0.00531
432.54,0.0112
432.59,0.023
432.64,0.04599
432.69,0.08957
432.74,0.1699
432.79,0.3137
432.84,0.5641
432.89,0.9879
432.94,1.685
432.99,2.798
433.04,4.524
433.09,7.125
433.14,10.93
433.19,16.32
433.24,23.73
433.29,33.6
433.34,46.35
433.39,62.25
433.44,81.43
433.49,103.8
433.54,128.8
433.59,155.7
433.64,183.5
433.69,210.9
433.74,236.4
433.79,258.9
433.84,277.3
433.89,291.3
433.94,300.9
433.99,307.3
434.04,312
434.09,317.4
434.14,326.1
434.19,340.7
434.24,363.6
434.29,396.1
434.34,438.8
434.39,490.8
434.44,550
434.49,612.9
434.54,675.5
434.59,733.5
434.64,783.1
434.69,821.7
434.74,849.3
434.79,868.9
434.84,887.3
434.89,916.2
434.94,972.3
434.99,1078
435.04,1259
435.09,1549
435.14,1981
435.19,2590
435.24,3406
435.29,4454
435.34,5744
435.39,7266
435.44,8990
435.49,10860
435.54,12800
435.59,14700
435.64,16450
435.69,17940
435.74,19050
435.79,19710
435.84,19870
435.89,19510
435.94,18650
435.99,17370
436.04,15760
436.09,13930
436.14,11990
436.19,10050
436.24,8205
436.29,6525
436.34,5055
436.39,3814
436.44,2803
436.49,2007
436.54,1399
436.59,950.2
436.64,628.5
436.69,405
436.74,254.1
436.79,155.3
436.84,92.49
436.89,53.63
436.94,30.3
436.99,16.67
437.04,8.932
437.09,4.662
437.14,2.37
437.19,1.174
437.24,0.5661
437.29,0.266
437.34,0.1217
437.39,0.05424
437.44,0.02355
437.49,0.009957
437.54,0.004101
437.59,0.001645
437.64,0.0006428
437.69,0.0002446
437.74,9.069E-05
437.79,3.275E-05
437.84,1.152E-05
437.89,3.948E-06
437.94,1.324E-06
437.99,4.479E-07
438.04,1.877E-07
438.09,1.741E-07
438.14,3.387E-07
438.19,7.87E-07
438.24,1.834E-06
438.29,4.181E-06
438.34,9.29E-06
438.39,2.012E-05
438.44,4.246E-05
438.49,8.731E-05
438.54,0.000175
438.59,0.0003417
438.64,0.0006503
438.69,0.001206
438.74,0.00218
438.79,0.003839
438.84,0.006588
438.89,0.01102
438.94,0.01796
438.99,0.02852
439.04,0.04413
439.09,0.06656
439.14,0.09783
439.19,0.1401
439.24,0.1955
439.29,0.266
439.34,0.3525
439.39,0.4552
439.44,0.573
439.49,0.7027
439.54,0.8399
439.59,0.9783
439.64,1.11
439.69,1.228
439.74,1.324
439.79,1.39
439.84,1.423
439.89,1.419
439.94,1.38
439.99,1.307
440.04,1.206
440.09,1.085
440.14,0.9508
440.19,0.8122
440.24,0.676
440.29,0.5483
440.34,0.4334
440.39,0.3339
440.44,0.2506
440.49,0.1833
440.54,0.1307
440.59,0.09076
440.64,0.06144
440.69,0.04053
440.74,0.02605
440.79,0.01632
440.84,0.009961
440.89,0.005926
440.94,0.003435
440.99,0.00194
441.04,0.001068
441.09,0.000573
441.14,0.0002995
441.19,0.0001526
441.24,7.575E-05
441.29,3.664E-05
441.34,1.727E-05
441.39,7.935E-06
441.44,3.552E-06
441.49,1.55E-06
